28-Jan-08,885,885,825,854.2,842.6121459,125689,3881,105907078,71645,57,60,-30.8
25-Jan-08,844,889.7,844,881.55,865.5532737,93442,3634,80879029,49937,53.44,45.7,37.55
24-Jan-08,873,889.9,825,842.7,858.4172926,124076,4617,106508984,62826,50.64,64.9,-30.3
23-Jan-08,805,886.9,805,867.1,843.4667389,171762,6616,144875534,81126,47.23,81.9,62.1
22-Jan-08,835,869,730,799.3,780.4220542,288489,7181,225143178,179772,62.32,139,-35.7
21-Jan-08,901,909,811.25,835.9,876.1397162,417618,10613,365891716,264078,63.23,97.75,-65.1
18-Jan-08,925,930,900.1,904.4,913.4888372,191395,8006,174837196,96831,50.59,29.9,-20.6
17-Jan-08,960,961,920,922.65,929.2122256,238647,9261,221753710,118944,49.84,41,-37.35
16-Jan-08,939,966,925,944.5,953.5594437,175149,5336,167014983,78237,44.67,41,5.5
15-Jan-08,966,979.7,931,938.25,945.0649442,167359,7621,158165124,91743,54.82,48.7,-27.75
14-Jan-08,995,1000,957.15,960.8,964.5503936,165507,5264,159639842,99625,60.19,42.85,-34.2
11-Jan-08,981,1004.7,970,989.05,983.7092972,161887,4380,159249747,76440,47.22,34.7,8.05
10-Jan-08,999,1008.05,867,974.7,985.3692741,242733,5106,239181640,152869,62.98,141.05,-24.3
9-Jan-08,990.55,1005.85,990.25,994.1,997.9719976,173735,4577,173382665,79642,45.84,15.6,3.55
8-Jan-08,991,995,971,990.55,985.1260522,129962,5387,128028952,50801,39.09,24,-0.45
7-Jan-08,1005.1,1005.1,973,976.15,980.1032314,263108,9431,257873001,189179,71.9,32.1,-28.95
4-Jan-08,990,1030,990,1005.1,1009.097618,101487,4254,102410290,50138,49.4,40,15.1
3-Jan-08,1035.1,1048,1012.4,1018,1025.213382,140504,5187,144046581,70313,50.04,35.6,-17.1
2-Jan-08,1057.6,1062.8,1033,1048.9,1046.170957,113368,3179,118602309,62229,54.89,29.8,-8.7
1-Jan-08,1065.1,1078,1052,1053.65,1058.706534,63142,2861,66848848,33656,53.3,26,-11.45
31-Dec-07,1090,1096.9,1072.05,1083.35,1088.450245,137925,2293,150124500,101237,73.4,24.85,-6.65
28-Dec-07,1090,1098,1076,1080.05,1089.244809,106536,2231,116043785,78934,74.09,22,-9.95
27-Dec-07,1100,1108,1086.3,1100.2,1100.029831,180787,2997,198871093,118145,65.35,21.7,0.2
26-Dec-07,1115,1124.95,1085.35,1097.75,1094.783759,346757,3529,379623932,250243,72.17,39.6,-17.25
24-Dec-07,1050,1120,1050,1108.7,1096.037377,387078,10059,424251956,271754,70.21,70,58.7
20-Dec-07,1025,1048.9,1025,1045.25,1040.47027,403196,4028,419513451,303032,75.16,23.9,20.25
19-Dec-07,1029.9,1029.9,1010,1021.35,1020.158174,75025,1960,76537367,43866,58.47,19.9,-8.55
18-Dec-07,1015,1021,1002.2,1011.35,1013.450955,172261,2592,174578075,118408,68.74,18.8,-3.65
17-Dec-07,1044.45,1045,1006.5,1010.2,1015.441164,141324,3791,143506207,60379,42.72,38.5,-34.25
14-Dec-07,1039.7,1053,1029.2,1044.45,1045.618069,141879,2503,148351246,92182,64.97,23.8,4.75
13-Dec-07,1055,1060,1026.05,1029.7,1049.576956,160761,3320,168731041,97506,60.65,33.95,-25.3
12-Dec-07,1035.2,1054,1025,1049,1037.051953,249303,2801,258540163,193854,77.76,29,13.8
11-Dec-07,1041,1048,1021.1,1039.25,1033.364983,304469,4342,314627603,165617,54.4,26.9,-1.75
10-Dec-07,1083,1083,1029,1035.7,1042.140936,417893,5372,435503402,255859,61.23,54,-47.3
7-Dec-07,1037,1070,1030,1061.25,1050.332352,416546,5766,437511740,286405,68.76,40,24.25
6-Dec-07,1042.8,1047.8,1030,1034.2,1036.501801,300426,2864,311392090,244738,81.46,17.8,-8.6
5-Dec-07,1040,1040,1024,1031.6,1029.665022,85707,2405,88249500,46683,54.47,16,-8.4
4-Dec-07,1054,1054,1027,1029.55,1035.532108,68471,2957,70903919,31001,45.28,27,-24.45
3-Dec-07,1015,1064.7,1010.25,1052.95,1049.299236,729066,9669,765008397,483580,66.33,54.45,37.95
30-Nov-07,980,1020,976.2,1013.95,1010.69909,461576,7476,466514443,136517,29.58,43.8,33.95
29-Nov-07,1000,1000,962,976.75,987.7245357,175373,3972,173220215,103990,59.3,38,-23.25
28-Nov-07,1002,1008.9,968,975.75,984.2252257,90043,3181,88622592,49175,54.61,40.9,-26.25
27-Nov-07,980,999,979.05,996.8,993.244813,78995,3139,78461374,41831,52.95,19.95,16.8
26-Nov-07,995,999,970.25,985,987.7180712,130423,3887,128821154,77196,59.19,28.75,-10
23-Nov-07,969,969,948,960,957.7181061,172384,3750,165095278,103125,59.82,21,-9
22-Nov-07,956,966,935,949.3,950.044307,144582,4988,137359306,55938,38.69,31,-6.7
21-Nov-07,980,980,941,948.5,958.1863837,151333,6814,145005220,67976,44.92,39,-31.5
20-Nov-07,994,994,957.55,960.55,969.4073392,141133,6385,136815366,66276,46.96,36.45,-33.45
19-Nov-07,989.9,1004.9,973.75,988.15,988.4871127,125550,5140,124104557,43114,34.34,31.15,-1.75
16-Nov-07,980,990.9,968.1,982.2,974.3729787,149282,4624,145456347,93476,62.62,22.8,2.2
15-Nov-07,985,999,970,978.9,982.9307383,119922,5343,117875020,40311,33.61,29,-6.1
14-Nov-07,974.9,985,967,982.85,976.8879998,154839,6498,151260361,54951,35.49,18,7.95
13-Nov-07,964,972,945.1,949,956.434402,208726,9132,199632727,100936,48.36,26.9,-15
12-Nov-07,980,986,960.05,963.7,971.2668041,209011,6167,203005446,112873,54,25.95,-16.3
9-Nov-07,1008.65,1009.75,981.1,985.5,986.7538944,41470,3145,40920684,30343,73.17,28.65,-23.15
8-Nov-07,995,998,980.25,992.35,986.7719348,158367,5665,156272111,89934,56.79,17.75,-2.65
7-Nov-07,1004,1012,987,998.25,995.4975975,606454,6779,603723500,506232,83.47,25,-5.75
6-Nov-07,1015,1028,1000.1,1004.55,1007.54355,99185,4306,99933207,57532,58,27.9,-10.45
5-Nov-07,1014,1030,1004.6,1011.15,1015.414304,170754,4649,173386054,104389,61.13,25.4,-2.85
2-Nov-07,1009,1030,1000,1020.7,1019.248189,132004,5325,134544838,63619,48.19,30,11.7
1-Nov-07,1065,1065,1016,1020.4,1030.436157,610216,6277,628788630,483503,79.23,49,-44.6
31-Oct-07,1042,1055,1020,1037.9,1024.020909,1648095,7892,1687683740,1402677,85.11,35,-4.1
30-Oct-07,1075,1075,1047,1048.5,1054.599119,179617,3637,189423930,143711,80.01,28,-26.5
29-Oct-07,1090,1100,1063.2,1068.4,1071.501794,316090,4170,338691002,263134,83.25,36.8,-21.6
26-Oct-07,1060,1080,1043,1069.95,1068.00257,169662,5404,181199452,75910,44.74,37,9.95
25-Oct-07,1060,1060,1038,1050.25,1046.288647,215814,5704,225803738,111018,51.44,22,-9.75
24-Oct-07,1090,1090,1043.25,1048.1,1055.92658,243681,6627,257309245,145706,59.79,46.75,-41.9
23-Oct-07,1093,1096,1061,1064.2,1075.683509,450105,5693,484170526,362348,80.5,35,-28.8
22-Oct-07,1095,1103,1070,1074.4,1079.190492,214025,4962,230973745,122177,57.09,33,-20.6
19-Oct-07,1123,1151,1080.1,1106.75,1113.112267,607426,12078,676133332,283113,46.61,70.9,-16.25
18-Oct-07,1100,1149.5,1077.5,1118.85,1126.362385,934196,19788,1052243235,514199,55.04,72,18.85
17-Oct-07,1000,1111,1000,1095.1,1092.376164,493224,10485,538786141,263471,53.42,111,95.1
16-Oct-07,1095,1109.7,1060.2,1068.1,1076.436514,515507,10633,554910558,280255,54.36,49.5,-26.9
15-Oct-07,1084.9,1089.7,1060,1073.65,1071.841351,474305,7740,508379712,282120,59.48,29.7,-11.25
12-Oct-07,1068,1075,1030.25,1063.1,1050.633696,315058,8458,331010551,129091,40.97,44.75,-4.9
11-Oct-07,1124,1124,1060,1071.9,1079.503965,633504,11901,683870080,359672,56.78,64,-52.1
10-Oct-07,1110,1129.8,1099.05,1124.95,1114.917456,290259,9908,323614826,137604,47.41,30.75,14.95
9-Oct-07,1078.6,1101,1076.1,1096.4,1091.518675,327415,8029,357379587,185351,56.61,24.9,17.8
8-Oct-07,1050,1097.7,1050,1078.5,1081.40229,334778,7748,362029696,192084,57.38,47.7,28.5
5-Oct-07,1075,1079,1057.25,1070.2,1068.132829,99105,3517,105857304,42690,43.08,21.75,-4.8
4-Oct-07,1073.2,1083,1055.1,1078.65,1071.309429,157729,5299,168976565,67931,43.07,27.9,5.45
3-Oct-07,1060,1095,1049,1079.95,1070.490421,467188,13086,500120279,287513,61.54,46,19.95
1-Oct-07,1060,1063,1023.15,1038.55,1035.231907,146973,5716,152151139,56408,38.38,39.85,-21.45
28-Sep-07,1064,1077,1045.25,1056.75,1059.182158,186739,6691,197790617,80034,42.86,31.75,-7.25
27-Sep-07,1051,1064.9,1045,1061.7,1058.28616,516156,11251,546240751,300027,58.13,19.9,10.7
26-Sep-07,1007,1047.8,1006.05,1041,1030.987667,919868,13101,948372563,628562,68.33,41.75,34
25-Sep-07,1010,1013.8,991,1002.15,1005.617211,282801,7565,284389553,158854,56.17,22.8,-7.85
24-Sep-07,1020,1026,1000.35,1005.95,1006.642547,159632,6358,160692363,71677,44.9,25.65,-14.05
21-Sep-07,995,1021.9,978,1014.95,993.34383,510255,19214,506858656,236719,46.39,43.9,19.95
20-Sep-07,1015,1022,999,1000.8,1001.5989,175116,7500,175395993,90963,51.94,23,-14.2
19-Sep-07,1028,1034,1015.25,1022.45,1022.57229,503586,6850,514953089,351238,69.75,18.75,-5.55
18-Sep-07,1000,1008,992.15,1002.1,1001.490873,641041,6929,641996711,540844,84.37,15.85,2.1
17-Sep-07,1030,1030,995.2,997.35,1004.874256,289810,12228,291222608,177674,61.31,34.8,-32.65
14-Sep-07,1035,1039.9,1019,1022.6,1026.754571,86078,3379,88380980,40289,46.81,20.9,-12.4
13-Sep-07,1022,1033.1,1014,1029.85,1026.301419,180775,5285,185529639,70903,39.22,19.1,7.85
12-Sep-07,1030,1034.9,1014,1016.2,1020.255712,272255,6674,277769719,168990,62.07,20.9,-13.8
11-Sep-07,1050.1,1054.7,1020,1023.85,1032.308696,219585,7097,226679505,125955,57.36,34.7,-26.25
10-Sep-07,1075,1075,1044,1046.95,1054.592081,272993,4720,287896256,221292,81.06,31,-28.05
7-Sep-07,1080,1081,1070.2,1077.3,1075.845976,233918,3636,251659739,152047,65,10.8,-2.7
6-Sep-07,1065,1081,1060,1077,1074.590874,103269,3150,110971925,59605,57.72,21,12
5-Sep-07,1070,1082.9,1066,1071.3,1075.113106,288907,4407,310607702,179753,62.22,16.9,1.3
4-Sep-07,1069,1086.9,1061,1065.7,1070.989284,137370,6227,147121798,40740,29.66,25.9,-3.3
3-Sep-07,1071,1071,1055.1,1058.8,1062.107274,90870,3065,96513688,43719,48.11,15.9,-12.2
31-Aug-07,1055,1069.95,1046.3,1065,1058.107336,223736,6769,236736703,83641,37.38,23.65,10
30-Aug-07,1049,1050,1026,1041.25,1038.056819,229148,8505,237868644,68852,30.05,24,-7.75
29-Aug-07,1017,1035.5,1006,1031.75,1023.601373,154869,4514,158524121,58310,37.65,29.5,14.75
28-Aug-07,1035,1038,1012.55,1028.2,1025.488256,163189,5157,167348403,73391,44.97,25.45,-6.8
27-Aug-07,1024.9,1036,1020,1025.65,1026.827391,183971,4411,188906462,121529,66.06,16,0.75
24-Aug-07,1012.3,1027,1000,1016.45,1011.841928,102991,5343,104210612,30332,29.45,27,4.15
23-Aug-07,1035,1049.9,1004,1007.65,1022.972347,114238,5078,116862315,38575,33.77,45.9,-27.35
22-Aug-07,1020,1032,998,1024.45,1017.904088,221515,8659,225481024,79852,36.05,34,4.45
21-Aug-07,1069.9,1070,1006.55,1016.25,1023.640333,352298,13956,360626442,194521,55.21,63.45,-53.65
20-Aug-07,1087.8,1097.85,1051,1054.55,1066.133581,237339,6374,253035078,141280,59.53,46.85,-33.25
17-Aug-07,1118.9,1118.9,1041.1,1056.1,1065.325946,431783,15264,459989633,207863,48.14,77.8,-62.8
16-Aug-07,1101,1114,1085,1087.8,1098.138902,495566,12374,544200303,339959,68.6,29,-13.2
14-Aug-07,1140,1140,1120.3,1129.6,1129.299247,97859,3426,110512095,34962,35.73,19.7,-10.4
13-Aug-07,1149,1151,1128.15,1135.05,1137.953838,64599,2948,73510680,21306,32.98,22.85,-13.95
10-Aug-07,1110,1152.5,1050,1145.05,1119.010844,516130,10766,577555067,300728,58.27,102.5,35.05
9-Aug-07,1165,1188.4,1138,1146.5,1166.884987,345466,9809,403119089,169408,49.04,50.4,-18.5
8-Aug-07,1124,1168.85,1124,1153.7,1157.498611,378728,10055,438377134,238138,62.88,44.85,29.7
7-Aug-07,1117,1119.7,1094.05,1107.9,1104.362459,125788,3780,138915545,60567,48.15,25.65,-9.1
6-Aug-07,1080,1119,1071.2,1102.4,1094.197413,184659,6441,202053400,92898,50.31,47.8,22.4
3-Aug-07,1096.2,1113.5,1084,1096.7,1096.144932,139659,7307,153086505,60499,43.32,29.5,0.5
2-Aug-07,1121,1128,1090,1095.35,1106.272204,166838,8663,184568242,81589,48.9,38,-25.65
1-Aug-07,1145,1145,1110,1115.8,1118.430039,386086,10851,431810180,223366,57.85,35,-29.2
31-Jul-07,1145,1161,1132,1158.45,1146.701164,100838,3658,115631052,31171,30.91,29,13.45
30-Jul-07,1150,1154.85,1130,1137.75,1144.580374,159025,3685,182016894,55547,34.93,24.85,-12.25
27-Jul-07,1150,1175,1146.05,1153,1163.074637,266571,5169,310041969,167228,62.73,28.95,3
26-Jul-07,1155,1200,1145,1185.3,1172.090288,133462,5406,156429514,53771,40.29,55,30.3
25-Jul-07,1190,1190,1146,1149.05,1154.178682,99982,3819,115397093,44345,44.35,44,-40.95
24-Jul-07,1190,1190,1166.25,1170.65,1175.270219,149612,3450,175834528,83424,55.76,23.75,-19.35
23-Jul-07,1175,1195,1160,1190.65,1177.425252,394056,5915,463971485,302572,76.78,35,15.65
20-Jul-07,1178,1191,1168,1177.1,1179.576434,252740,6126,298126148,144330,57.11,23,-0.9
19-Jul-07,1170,1179,1164.3,1174.35,1172.11048,262816,6402,308049388,136613,51.98,14.7,4.35
18-Jul-07,1157,1170.5,1144,1167.45,1159.128015,186212,6734,215843546,62402,33.51,26.5,10.45
17-Jul-07,1162,1177.7,1150,1154.85,1159.755598,485728,11948,563325767,283582,58.38,27.7,-7.15
16-Jul-07,1145,1145,1114.6,1127.9,1123.294124,249395,10755,280143938,111010,44.51,30.4,-17.1
13-Jul-07,1170,1180,1130.3,1136.85,1140.654486,381333,8934,434969197,225859,59.23,49.7,-33.15
12-Jul-07,1150,1167.6,1134,1161.2,1146.606197,349317,7337,400529037,188039,53.83,33.6,11.2
11-Jul-07,1185,1185,1110,1146.9,1147.358949,415276,9598,476470635,230169,55.43,75,-38.1
10-Jul-07,1180,1200,1170.25,1186.5,1188.739619,452038,10516,537355480,266944,59.05,29.75,6.5
9-Jul-07,1160,1180,1160,1176.55,1171.904373,278895,7485,326838270,166822,59.82,20,16.55
6-Jul-07,1108,1166,1102,1159.05,1138.958706,374338,13743,426355524,167524,44.75,64,51.05
5-Jul-07,1120,1122,1100.7,1109.75,1110.740178,203343,7931,225861240,116062,57.08,21.3,-10.25
4-Jul-07,1139.6,1149.6,1116,1117.25,1120.705383,199897,5734,224025644,135355,67.71,33.6,-22.35
3-Jul-07,1136,1144.9,1124.1,1127.75,1130.002429,115291,4467,130279110,72101,62.54,20.8,-8.25
2-Jul-07,1152,1155,1132,1134.6,1143.190758,79677,3753,91086010,33213,41.68,23,-17.4
29-Jun-07,1138,1155,1138,1149.25,1146.898208,147045,5124,168645647,96372,65.54,17,11.25
28-Jun-07,1139,1141,1124.9,1136.8,1132.258794,165935,5138,187881363,84909,51.17,16.1,-2.2
27-Jun-07,1125,1138.5,1120,1133,1129.299647,234546,5992,264872715,148562,63.34,18.5,8
26-Jun-07,1135,1139.15,1120,1122.45,1129.745263,187578,8004,211915357,76237,40.64,19.15,-12.55
25-Jun-07,1140,1142,1118.2,1125.5,1126.869498,229774,8448,258925312,143641,62.51,23.8,-14.5
22-Jun-07,1150,1150,1135.3,1140,1140.004523,4930947,4944,5621301883,4853213,98.42,14.7,-10
21-Jun-07,1148,1152,1131,1144.65,1142.66953,150177,8481,171602682,55764,37.13,21,-3.35
20-Jun-07,1170,1172,1141,1145.8,1152.766701,249358,7266,287451599,149182,59.83,31,-24.2
19-Jun-07,1158.8,1170,1145,1160.6,1153.676173,214358,9420,247299717,103982,48.51,25,1.8
18-Jun-07,1198,1207,1162.95,1166.6,1173.531221,168540,8205,197786952,73532,43.63,44.05,-31.4
15-Jun-07,1209.4,1217.9,1180.05,1184.45,1193.557224,295619,10959,352838193,168287,56.93,37.85,-24.95
14-Jun-07,1219.75,1219.75,1201.75,1203.75,1205.5422,182525,4023,220041590,131191,71.88,18,-16
13-Jun-07,1215,1220,1197,1202.8,1208.72623,98192,3684,118687246,40714,41.46,23,-12.2
12-Jun-07,1220,1221.7,1206.25,1214.75,1213.333711,52992,2782,64296980,13498,25.47,15.45,-5.25
11-Jun-07,1231,1244,1217,1220.8,1227.72653,136121,4589,167119363,55891,41.06,27,-10.2
8-Jun-07,1199.85,1230.8,1192,1220.85,1216.675833,268525,9225,326707878,82248,30.63,38.8,21
7-Jun-07,1195,1212,1192,1206.35,1205.673062,116750,4541,140762330,41276,35.35,20,11.35
6-Jun-07,1215,1217,1192.2,1199.2,1205.085099,208698,7583,251498850,85283,40.86,24.8,-15.8
5-Jun-07,1210,1217,1200,1207.8,1209.74531,106125,3789,128384221,45470,42.85,17,-2.2
4-Jun-07,1229,1232,1204.25,1208.75,1215.281128,68531,3511,83284431,37138,54.19,27.75,-20.25
1-Jun-07,1220,1226,1213.05,1219,1219.581272,82390,3428,100481301,39752,48.25,12.95,-1
31-May-07,1220,1232,1205,1208.6,1213.135674,164342,5834,199369143,67808,41.26,27,-11.4
30-May-07,1230,1235,1210,1213.55,1219.76162,110005,5273,134179877,39060,35.51,25,-16.45
29-May-07,1227,1243.8,1219,1231.45,1228.730439,104700,4106,128648077,42071,40.18,24.8,4.45
28-May-07,1245,1254,1221,1224.85,1233.176794,158936,6760,195996187,61696,38.82,33,-20.15
25-May-07,1219,1233,1205.15,1229.75,1223.086795,305133,9031,373204143,142472,46.69,27.85,10.75
24-May-07,1232,1244.9,1220.6,1223.9,1229.421222,181206,5005,222778502,102579,56.61,24.3,-8.1
23-May-07,1240,1243.5,1225.1,1232.3,1233.22203,60555,2872,74677760,18275,30.18,18.4,-7.7
22-May-07,1240,1244,1222,1229.45,1232.505089,166739,4710,205506666,80059,48.01,22,-10.55
21-May-07,1265,1268,1230.2,1236.95,1239.463801,153790,4253,190617138,83601,54.36,37.8,-28.05
18-May-07,1255,1276.5,1235.15,1251.6,1261.970619,170210,7029,214800019,65459,38.46,41.35,-3.4
17-May-07,1236,1253,1230.2,1248.3,1243.854668,149699,6222,186203800,41489,27.71,22.8,12.3
16-May-07,1240,1248.8,1210.6,1224.4,1221.036929,336862,8459,411320942,209848,62.29,38.2,-15.6
15-May-07,1248,1254.7,1225.55,1236.6,1233.281264,142478,4933,175715448,51873,36.41,29.15,-11.4
14-May-07,1270,1270,1245,1249.3,1255.690068,69783,3439,87625820,17723,25.4,25,-20.7
11-May-07,1232,1260,1215,1252.7,1241.291395,251614,7355,312326293,96177,38.22,45,20.7
10-May-07,1244,1260,1226.1,1229.6,1238.809712,162112,4952,200825920,67039,41.35,33.9,-14.4
9-May-07,1266,1273,1225.6,1236.65,1238.322434,463140,7567,573516652,330487,71.36,47.4,-29.35
8-May-07,1270.15,1277,1260.2,1267.8,1269.788775,215874,3426,274114382,157820,73.11,16.8,-2.35
7-May-07,1280,1289.4,1265.05,1277.65,1278.74463,1194676,3729,1527685519,1133382,94.87,24.35,-2.35
4-May-07,1299.5,1299.5,1270,1274.35,1281.953643,120197,5586,154086982,33554,27.92,29.5,-25.15
3-May-07,1275,1295,1275,1290.2,1287.9993,463044,9231,596400348,320149,69.14,20,15.2
30-Apr-07,1240,1269.9,1231,1265.7,1258.750745,203270,8107,255866264,92292,45.4,38.9,25.7
27-Apr-07,1235,1240,1218,1234.45,1229.118148,337036,6077,414257064,195631,58.04,22,-0.55
26-Apr-07,1229,1245.7,1220,1239.5,1232.950576,198345,6400,244549582,75812,38.22,25.7,10.5
25-Apr-07,1230,1230,1208.1,1220.8,1209.717296,2728763,8866,3301031799,2571265,94.23,21.9,-9.2
24-Apr-07,1245,1259.9,1220.3,1225.8,1239.571142,173715,6863,215332101,58461,33.65,39.6,-19.2
23-Apr-07,1265,1270,1243.5,1246.1,1254.225098,151503,3937,190018865,82441,54.42,26.5,-18.9
20-Apr-07,1250,1268.9,1247,1255.85,1260.071602,240369,6166,302882151,135362,56.31,21.9,5.85
19-Apr-07,1238.9,1248,1202,1243,1237.998235,253250,7410,313523053,111479,44.02,46,4.1
18-Apr-07,1254.7,1265,1240.1,1246.9,1253.990479,229080,7268,287264139,87841,38.35,24.9,-7.8
17-Apr-07,1320,1330,1236.5,1249.5,1252.843813,680377,23807,852406115,202584,29.78,93.5,-70.5
16-Apr-07,1298.8,1310,1270.5,1280.1,1286.187965,642428,20238,826283162,271016,42.19,39.5,-18.7
13-Apr-07,1218,1269,1195.5,1262.65,1243.623008,518276,20032,644539958,216247,41.72,73.5,44.65
12-Apr-07,1187,1208,1171.1,1201,1194.750358,244334,7796,291918134,114860,47.01,36.9,14
11-Apr-07,1197,1206.5,1187,1190.5,1194.691912,231875,8451,277019187,91751,39.57,19.5,-6.5
10-Apr-07,1217,1224,1195.05,1196.95,1203.863672,145590,5595,175270512,58445,40.14,28.95,-20.05
9-Apr-07,1196,1225,1196,1216.6,1217.372072,159265,6328,193884763,60469,37.97,29,20.6
5-Apr-07,1200,1209.8,1188.15,1193.85,1199.635217,163116,5951,195679698,68984,42.29,21.65,-6.15
4-Apr-07,1198,1224,1190.3,1197,1202.528375,196368,9729,236138092,57313,29.19,33.7,-1
3-Apr-07,1199,1215,1186,1200.9,1202.979586,191436,8788,230293600,60651,31.68,29,1.9
2-Apr-07,1223,1223,1185,1188.75,1200.249036,224429,13493,269370691,121499,54.14,38,-34.25
30-Mar-07,1255,1255,1220,1231.2,1231.452422,175228,8510,215784945,40619,23.18,35,-23.8
29-Mar-07,1205,1256,1192.5,1247,1228.699099,408463,15046,501878120,122890,30.09,63.5,42
28-Mar-07,1260,1270,1195.25,1201,1216.751751,700078,21794,851821132,386157,55.16,74.75,-59
26-Mar-07,1293.55,1299,1255,1261.25,1277.467167,323332,6771,413046014,172644,53.4,44,-32.3
23-Mar-07,1305,1320,1280.55,1289.5,1302.470232,431566,8325,562101868,197170,45.69,39.45,-15.5
22-Mar-07,1280,1308,1275.05,1303.95,1298.552741,344031,10440,446742398,199920,58.11,32.95,23.95
21-Mar-07,1280,1280,1235,1267.1,1255.364913,120437,5390,151192384,41979,34.86,45,-12.9
20-Mar-07,1265.1,1275.95,1248.5,1252.5,1262.926973,137729,5859,173941669,23392,16.98,27.45,-12.6
19-Mar-07,1245,1263.7,1240,1260.1,1254.245235,89445,5074,112185965,36729,41.06,23.7,15.1
16-Mar-07,1248,1248,1215.6,1236.1,1235.205653,179973,6013,222303667,81791,45.45,32.4,-11.9
15-Mar-07,1235,1251.05,1221,1236.2,1239.797341,252488,5479,313033951,156584,62.02,30.05,1.2
14-Mar-07,1250,1250,1200,1213.5,1227.62208,207803,8435,255103551,92666,44.59,50,-36.5
13-Mar-07,1248,1268.7,1230,1264.5,1252.043666,138506,6206,173415560,55448,40.03,38.7,16.5
12-Mar-07,1175,1253.65,1129.85,1238.3,1241.633882,260312,7802,323212199,104832,40.27,123.8,63.3
9-Mar-07,1225,1230.5,1200,1212.2,1211.061696,230373,5914,278995916,126198,54.78,30.5,-12.8
8-Mar-07,1230,1263,1198,1218.7,1213.768736,206405,7635,250527936,90775,43.98,65,-11.3
7-Mar-07,1220,1220,1159,1193,1184.351055,226429,10984,268171425,67075,29.62,61,-27
6-Mar-07,1200,1224,1160.25,1199.05,1195.305434,268087,12967,320445848,87692,32.71,63.75,-0.95
5-Mar-07,1190,1190,1151.5,1162.2,1162.639353,287996,14407,334835483,124039,43.07,38.5,-27.8
2-Mar-07,1211,1260,1201,1208.45,1230.998038,275223,9387,338798973,125212,45.49,59,-2.55
1-Mar-07,1200,1270,1180,1255.6,1240.279995,439672,14862,545316386,173069,39.36,90,55.6
28-Feb-07,1275,1275,1170,1188.45,1211.062971,854092,34479,1034359195,404581,47.37,105,-86.55
27-Feb-07,1295,1295,1254.8,1265.2,1277.962769,191586,5844,244839775,97594,50.94,40.2,-29.8
26-Feb-07,1300,1300,1235.15,1282.8,1266.904108,170901,7062,216515179,60229,35.24,64.85,-17.2
23-Feb-07,1310,1310,1270,1275.25,1282.063744,136342,5210,174799135,55641,40.81,40,-34.75
22-Feb-07,1300,1311,1286,1295.1,1299.75436,334225,5043,434410401,223992,67.02,25,-4.9
21-Feb-07,1296,1312,1282,1285.95,1299.283926,305235,4466,396586929,185613,60.81,30,-10.05
20-Feb-07,1319,1322.9,1290.25,1297.2,1310.870696,320647,5184,420326756,190541,59.42,32.65,-21.8
19-Feb-07,1295,1318,1295,1309.9,1309.271877,308139,5155,403437727,221924,72.02,23,14.9
15-Feb-07,1290,1298.8,1265,1290.3,1283.820213,256570,4698,329389752,157720,61.47,33.8,0.3
14-Feb-07,1254,1264.9,1240,1260.15,1254.91973,192289,5061,241307260,109369,56.88,24.9,6.15
13-Feb-07,1280,1284.4,1235,1254.55,1261.187062,328886,7012,414786768,184141,55.99,49.4,-25.45
12-Feb-07,1300,1300,1250,1254.25,1266.016671,121645,5942,154004598,60236,49.52,50,-45.75
9-Feb-07,1350,1350,1231.4,1287.8,1291.725533,232108,3450,299819830,185141,79.77,118.6,-62.2
8-Feb-07,1325,1325,1295,1300.05,1305.605914,108768,3920,142008144,46648,42.89,30,-24.95
7-Feb-07,1306,1311,1291.2,1306.65,1302.741538,154657,3999,201478098,89610,57.94,19.8,0.65
6-Feb-07,1314.8,1314.8,1280,1298.3,1285.389383,7067957,3724,9085076884,6913995,97.82,34.8,-16.5
5-Feb-07,1320,1320,1295,1305.05,1305.833707,283464,3422,370156846,206888,72.99,25,-14.95
2-Feb-07,1315,1315,1291,1299.4,1301.677381,275250,3169,358286699,216897,78.8,24,-15.6
1-Feb-07,1300,1300,1271,1292.5,1290.304359,146304,3292,188776689,103023,70.42,29,-7.5
31-Jan-07,1350,1350,1275,1278.6,1290.3038,248805,6811,321034037,110285,44.33,75,-71.4
29-Jan-07,1230,1320,1230,1296.3,1304.450566,137021,5240,178737121,51342,37.47,90,66.3
25-Jan-07,1322,1322,1303.5,1313.9,1312.099566,78822,3171,103422312,32183,40.83,18.5,-8.1
24-Jan-07,1322,1322,1297.3,1304.5,1304.247849,252150,3122,328866095,199280,79.03,24.7,-17.5
23-Jan-07,1325,1325,1300,1303.5,1306.810291,110174,3434,143976517,51503,46.75,25,-21.5
22-Jan-07,1350,1350,1290.1,1312.35,1309.078519,199736,5867,261470107,89308,44.71,59.9,-37.65
19-Jan-07,1350,1350,1292,1297.55,1303.493379,206774,6140,269528540,123318,59.64,58,-52.45
18-Jan-07,1314.6,1329.4,1306,1314.8,1319.373299,245500,6688,323906145,109749,44.7,23.4,0.2
17-Jan-07,1332.9,1334.7,1280,1305.9,1318.511572,205064,7621,270379257,75976,37.05,54.7,-27
16-Jan-07,1399,1399,1320.15,1327.85,1346.954813,496847,16219,669230458,166188,33.45,78.85,-71.15
15-Jan-07,1339,1367,1305.1,1327.9,1338.870012,1066801,20496,1428307868,538697,50.5,61.9,-11.1
